ID,FTF,OLA,OLS,HYA,HYS,HYF,8to10,10to12,12to3,3to5,5to8,timeblock,MWF,TR,MW,MF,oneday,online,resstatus,class,age,workstatus,major
98417985,1,2,4,5,6,3,5,4,1,2,3,3,5,,,,,2,1,4,2,3,20
98418155,2,4,6,3,1,5,5,1,2,5,5,3,5,,,,,2,1,1,2,3,8
98418207,2,1,3,5,4,6,4,3,1,2,4,3,5,,,,,2,1,3,2,1,26
98418263,1,6,5,3,2,4,5,4,1,2,3,2,,3,1,,4,2,1,2,2,3,3
98418265,1,2,3,4,6,5,1,1,3,4,5,3,5,,,,,2,0,3,1,2,4
98418269,6,3,5,2,1,2,2,1,3,4,5,1,,,,,4,1,1,3,2,1,23
98418281,1,2,3,4,5,6,3,1,2,4,5,2,,3,1,,,2,1,1,1,3,23
98418361,1,4,2,3,5,6,5,2,1,3,4,3,5,,,,,2,0,2,2,3,30
98418369,1,2,5,4,3,6,2,1,3,4,5,2,,3,1,,,2,1,3,2,2,23
98418398,1,3,2,4,5,6,3,2,1,3,5,2,5,3,1,2,,2,1,2,2,2,30
98418412,1,2,6,3,4,5,3,1,2,5,5,3,5,,,,,2,0,3,2,2,14
98418454,6,2,1,3,4,5,1,1,5,5,5,2,,3,1,,,1,0,4,2,1,26
98418466,1,4,3,6,5,2,2,1,3,5,4,2,,3,1,2,,2,1,1,2,3,19
98418472,2,1,5,3,4,6,3,1,2,4,5,2,5,3,1,,,2,0,4,2,2,26
98418473,6,2,3,4,5,1,1,2,3,4,5,1,,,,,4,1,0,3,4,1,4
98418491,1,3,2,4,5,6,5,1,2,4,5,2,5,3,,,,2,1,2,2,2,30
98418507,2,1,3,4,5,6,1,2,3,4,5,2,,3,,,,1,1,4,2,2,27
98418583,1,6,5,4,3,2,1,3,5,2,5,2,,3,1,,,2,0,3,5,2,3
98418630,2,1,3,4,5,6,1,2,4,5,5,1,,3,,,,1,0,1,1,3,23
98418705,2,1,3,4,5,6,3,2,3,4,4,2,,,1,,,2,0,3,2,1,14
98418794,1,2,4,5,3,6,4,1,2,3,5,2,5,3,1,,,2,1,2,2,2,30
98418801,,,,,,,,,,,,,,,,,,,,,,,
98418803,1,2,4,3,5,6,2,1,2,3,5,3,5,3,,,,2,1,1,1,3,4
98418807,1,2,3,4,5,6,3,1,2,4,5,2,,3,1,,,2,0,2,2,3,23
98418843,2,1,1,1,1,3,1,2,3,5,5,1,5,3,1,,4,1,0,4,4,1,23
98418879,1,2,5,4,6,3,2,1,4,5,5,3,5,,,,4,2,0,1,2,2,4
98418893,1,4,3,6,5,2,5,4,1,2,3,2,,3,,,,2,0,4,2,2,29
98418897,3,1,2,6,5,4,3,1,1,5,5,2,,3,1,,,2,1,3,2,2,15
98418911,1,6,5,4,3,3,1,1,1,3,4,2,,3,1,,,2,0,1,2,2,14
98418952,3,2,1,4,5,6,4,2,1,3,5,3,5,,,,,2,0,3,2,3,11
98419031,1,2,3,1,4,2,2,2,2,3,5,3,5,3,,,,1,0,4,2,2,22
98419110,2,1,3,4,5,6,5,2,1,5,5,2,,3,,,,2,0,1,1,3,15
98419113,2,1,5,3,6,4,5,1,1,5,5,2,,3,1,,4,2,0,3,5,1,6
98419139,2,1,4,3,4,6,2,1,3,4,5,3,5,,,,,2,0,3,2,2,14
98419165,1,4,3,5,2,6,5,4,1,5,5,2,5,,,,,2,1,3,2,2,4
98419232,1,2,3,4,5,6,1,2,3,4,5,3,5,,,2,,2,0,2,2,1,8
98419289,1,4,5,2,3,6,3,1,2,4,5,3,5,,1,,,2,1,2,2,2,11
98419335,1,2,5,3,6,4,1,2,3,5,5,3,5,,,,,2,0,1,1,3,16
98419440,1,3,4,2,5,6,1,2,3,4,5,2,,3,,,,2,0,3,3,3,20
98419526,1,5,6,4,3,2,2,2,2,3,5,3,5,3,,,,2,0,2,1,2,1
98419544,3,1,2,5,4,6,4,2,1,3,5,2,5,3,,,,1,1,2,2,2,26
98419679,1,6,5,4,3,2,2,1,3,4,5,2,5,3,1,,,2,0,1,2,2,29
98419749,1,2,5,4,3,6,2,1,4,3,4,3,5,3,,,,2,0,1,1,3,26
98420027,3,1,5,2,4,6,5,1,2,4,3,2,,3,,,,2,0,2,2,2,5
98420049,2,3,4,6,5,1,5,1,2,3,4,2,,3,1,2,,2,0,1,1,2,23
98420057,1,6,4,3,2,5,5,1,2,3,5,2,,3,1,,,1,1,2,2,2,20
98420127,2,5,6,3,4,1,2,1,4,5,4,3,5,3,1,,,2,1,2,2,3,25
98420142,1,6,5,3,2,4,5,1,1,2,4,3,5,3,1,,,2,1,2,2,2,2
98420378,3,2,6,4,1,5,1,1,3,4,5,2,5,3,,,,1,0,2,2,3,8
98420384,2,1,2,4,5,4,3,3,2,1,5,2,,,1,,,2,0,4,2,2,29
98420426,1,5,2,6,4,3,2,1,2,3,4,2,,3,1,,,2,0,3,2,2,17
98420456,6,1,2,3,4,5,5,2,1,3,4,2,,3,,2,,1,0,4,2,2,25
98420475,1,6,3,4,2,5,5,1,2,3,5,3,5,,,,4,2,1,2,2,2,10
98420667,2,1,6,4,5,3,5,3,1,2,4,3,5,3,,,,2,0,3,2,3,11
98420921,1,3,6,4,5,2,3,1,2,4,5,1,,,,,4,2,1,1,2,2,16
98420986,4,3,1,2,5,6,5,1,1,5,5,3,5,3,,,,1,1,2,2,2,8
98421085,1,4,3,2,5,6,1,2,2,4,5,3,5,,,,,2,1,1,1,3,1
98421356,4,5,3,1,2,6,5,2,1,4,5,2,,3,,,,2,0,2,2,2,31
98421477,1,3,6,4,5,2,1,2,3,5,4,3,5,3,,,,2,1,4,2,2,6
98421519,1,5,2,4,3,6,3,1,2,4,5,2,,3,1,,,2,1,4,2,2,27
98421561,6,1,2,3,4,5,5,2,1,3,5,3,5,,,,,1,0,1,1,1,26
98421693,1,4,6,3,5,2,1,2,3,5,5,2,,3,1,,,2,0,3,2,3,4
98422091,1,2,3,4,5,6,4,1,1,4,5,3,5,,,,,1,0,1,1,2,31
98422125,1,2,3,5,6,4,5,5,1,1,5,3,5,,,,,2,1,1,2,2,5
98422344,1,4,5,2,3,6,5,2,2,3,5,3,5,,,,,2,1,1,1,2,8
98422636,6,1,2,3,4,5,5,4,3,2,1,1,,3,1,,4,1,0,3,3,1,11
98422715,1,6,5,2,3,4,3,1,2,4,5,3,5,3,1,2,,2,1,3,2,2,5
98422889,1,5,6,3,4,2,,,,,,,,,,,,,,,,,
98423124,1,3,6,5,4,2,5,2,1,4,3,1,,3,1,2,4,2,1,2,2,2,31
98423312,1,3,4,5,6,2,1,3,4,2,5,3,5,,,,,2,1,1,2,3,22
98423507,5,4,3,1,2,6,4,2,1,3,5,3,5,,,,,1,0,3,2,3,21
98424174,1,2,3,4,5,6,3,1,3,5,5,3,5,3,,,,2,1,2,2,2,23
98424571,1,2,3,5,6,4,2,1,3,4,5,3,5,,,,,2,0,1,2,3,26
98424719,1,4,4,4,5,5,4,2,3,3,5,3,5,,,,,2,0,1,1,3,23
98425209,1,2,3,4,5,6,2,2,3,4,5,2,,3,,,,1,1,3,2,3,14
98425210,1,6,5,3,4,2,2,1,2,5,5,3,5,3,,,,2,0,4,4,1,20
98425212,1,2,4,3,5,6,1,2,3,4,5,2,,,1,,,1,0,2,2,2,17
98425213,1,2,5,3,6,4,1,1,2,4,5,3,5,3,,,,2,0,4,2,2,4
98425221,1,2,5,3,5,6,3,2,2,3,5,2,,3,,2,4,2,0,1,1,3,29
98425223,1,2,3,4,5,6,2,1,2,2,5,1,5,3,,,4,1,0,3,5,1,14
98425224,3,1,5,4,6,2,1,1,5,5,5,2,,3,,,4,1,0,4,2,2,5
98425227,4,6,5,1,2,3,2,1,3,5,3,1,,3,1,,4,2,0,3,5,2,30
98425235,1,3,2,4,5,6,1,2,3,4,5,2,,,1,,,2,0,3,5,2,23
98425236,2,1,3,4,5,6,3,1,5,5,5,,,,,,,,,,,,
98425239,6,1,3,2,5,4,5,3,2,4,5,2,,3,,2,,1,0,2,2,2,11
98425240,1,2,3,4,5,6,2,2,2,3,4,2,5,3,,,,2,0,1,3,2,23
98425241,1,3,3,5,6,2,3,5,5,2,1,2,,3,1,2,4,2,0,4,5,1,18
98425242,1,2,3,4,5,6,3,1,2,4,5,2,,3,,,,2,1,3,2,2,14
98425243,1,3,2,5,6,4,4,1,2,3,5,3,5,3,,,,2,0,4,2,2,16
98425244,1,4,6,3,5,2,1,2,3,4,5,2,,3,1,,,2,0,2,2,2,5
